lsoa,mean_ptal_score,ptal_rating,sample_postcode,borough_outbound
E01000512,11.997,3,NW10 1BA,4_NW10
E01000513,7.65281,2,NW9 0AX,4_NW9
E01000514,6.20177,2,NW9 0AA,4_NW9
E01000515,8.24797,2,NW9 0BG,4_NW9
E01000516,7.96554,2,NW9 0DD,4_NW9
E01000517,6.82001,2,NW9 9DT,4_NW9
E01000518,5.50147,2,NW9 0XD,4_NW9
E01000519,2.01306,1a,NW9 8AB,4_NW9
E01000520,7.163039999999999,2,NW9 0AP,4_NW9
E01000521,18.5584,4,NW10 4AG,4_NW10
E01000522,2.0365,1a,NW10 3UA,4_NW10
E01000523,13.518000000000002,3,NW10 4AB,4_NW10
E01000524,22.598,5,NW10 4AA,4_NW10
E01000525,21.9764,5,NW10 0BS,4_NW10
E01000526,5.20336,2,NW10 2GA,4_NW10
